report_date,số_lượng_dự_án_đang_triển_khai,số_lượng_dự_án_bị_trì_hoãn,số_lượng_chứng_từ_liên_quan_mẫu_được_phát_hành_theo_mẫu_ingredient_coa_spec_flowchart,số_lượng_bom_công_thức_spec_nvl_thành_phẩm_ingredient_được_phát_hành_sản_xuất,số_lượng_bom_báo_giá_theo_yêu_cầu_phòng_kd,số_lượng_sản_phẩm_cải_tiến_hoàn_thành,mức_độ_giảm_chi_phí_nhờ_cải_tiến_qtsx_vnđ_hoặc,mức_độ_giảm_chi_phí_nhờ_cải_tiến_nguyên_vật_liệu_vnđ_hoặc,số_lượng_hồ_sợ_tự_công_bố_đã_được_duyệt
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025-01-04,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
2025-01-05,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
2025-01-06,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025-01-07,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025-01-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0
2025-01-13,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
2025-01-14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
2025-01-16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-01-18,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2025-01-21,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0
2025-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-25,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-01-26,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2025-02-06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0
2025-02-07,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2025-02-11,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-02-13,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-02-14,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-02-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
2025-02-19,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
2025-02-20,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2025-02-27,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0
2025-02-28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
