report_date,tổng_số_ncc_hiện_tại,tổng_số_ncc_chính,tổng_số_ncc_đã_đánh_giá,số_lượng_kế_hoạch_theo_tháng,số_đơn_hàng_mới_có_kế_hoạch,số_đơn_hàng_mới_phát_sinh,số_danh_mục_đặt_mua,số_đơn_giao_đúng_tiến_độ,số_đơn_giao_trễ_hạn,số_lượng_hàng_trả_lại,chi_phí_tiết_kiệm_nhờ_thương_lượng_giá,tổng_chi_phí_mua_nvl_tỷ_vnd,tổng_số_ncc_hiện_tại_1,tổng_số_ncc_chính_1,tổng_số_ncc_đã_đánh_giá_1,số_lượng_kế_hoạch_theo_tháng_1,số_đơn_hàng_mới_có_kế_hoạch_1,số_đơn_hàng_mới_phát_sinh_1,số_danh_mục_đặt_mua_1,số_đơn_giao_đúng_tiến_độ_1,số_đơn_giao_trễ_hạn_1,số_lượng_hàng_trả_lại_1,chi_phí_tiết_kiệm_nhờ_thương_lượng_giá_1,tổng_chi_phí_mua_nvl,tổng_số_ncc_hiện_tại_2,tổng_số_ncc_chính_2,tổng_số_ncc_đã_đánh_giá_2,số_lượng_kế_hoạch_theo_tháng_2,số_đơn_hàng_mới_có_kế_hoạch_2,số_đơn_hàng_mới_phát_sinh_2,số_danh_mục_đặt_mua_2,số_đơn_giao_đúng_tiến_độ_2,số_đơn_giao_trễ_hạn_2,số_lượng_hàng_trả_lại_2,chi_phí_tiết_kiệm_nhờ_thương_lượng_giá_2,tổng_chi_phí_mua_nvl_1,tổng_số_ncc_hiện_tại_3,tổng_số_ncc_chính_3,tổng_số_ncc_đã_đánh_giá_3,số_lượng_kế_hoạch_theo_tháng_3,số_đơn_hàng_mới_có_kế_hoạch_3,số_đơn_hàng_mới_phát_sinh_3,số_danh_mục_đặt_mua_3,số_đơn_giao_đúng_tiến_độ_3,số_đơn_giao_trễ_hạn_3,số_lượng_hàng_trả_lại_3,chi_phí_tiết_kiệm_nhờ_thương_lượng_giá_3,tổng_chi_phí_mua_nvl_2,tổng_số_ncc_hiện_tại_4,tổng_số_ncc_chính_4,tổng_số_ncc_đã_đánh_giá_4,số_lượng_kế_hoạch_theo_tháng_4,số_đơn_hàng_mới_có_kế_hoạch_4,số_đơn_hàng_mới_phát_sinh_4,số_danh_mục_đặt_mua_4,số_đơn_giao_đúng_tiến_độ_4,số_đơn_giao_trễ_hạn_4,số_lượng_hàng_trả_lại_4,chi_phí_tiết_kiệm_nhờ_thương_lượng_giá_4,tổng_chi_phí_mua_nvl_3
2025-01-02,115.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,12.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2025-01-03,115.0,14.0,8.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,8.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,8.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,8.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,6.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2025-01-04,115.0,14.0,23.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,23.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,23.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,23.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,6.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2025-01-06,115.0,14.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,42.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-01-07,115.0,14.0,37.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,37.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,37.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,37.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,6.0,37.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2025-01-08,115.0,14.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2025-01-09,115.0,14.0,19.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,19.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,19.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,19.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,6.0,19.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
2025-01-10,115.0,14.0,29.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,29.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,29.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,29.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,29.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2025-01-11,115.0,14.0,48.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,48.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,48.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,48.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2025-01-13,115.0,14.0,14.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,14.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,14.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,14.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,6.0,14.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2025-01-14,115.0,14.0,33.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,33.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,33.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,33.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2025-01-15,115.0,14.0,6.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,6.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,6.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,6.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,6.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
2025-01-16,115.0,14.0,21.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,21.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,21.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,21.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,6.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-01-17,115.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2025-01-18,115.0,14.0,27.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,27.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,27.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,27.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,6.0,27.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2025-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-20,115.0,14.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025-01-21,115.0,14.0,44.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,44.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,44.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,14.0,44.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,6.0,44.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2025-01-22,115.0,14.0,18.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,18.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,18.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,18.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,18.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
2025-01-23,115.0,14.0,25.0,0.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,25.0,0.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,25.0,0.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,14.0,25.0,0.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,6.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2025-01-24,115.0,14.0,31.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,31.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,31.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,14.0,31.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,31.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2025-01-25,115.0,14.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,115.0,14.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
2025-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
2025-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
